Accession,sepal,petal,stamen,carpel,silique,embryo,seed,seed imbibed,pollen,node,internode,cauline leaf,leaf distal,leaf proximal,leaf petiole,senescent leaf,root,flower pedicle,flower,silique septum,silique valves,egg like callus,callus,cell culture early,cell culture late,cotelydons,hypocotyl,root tip,root upper zone,shoot tip
AT1G11390.1,0.9110561217823075,0.9181856788187639,0.9507260224748465,0.8741792434339475,0.8737382399059193,0.8266488631909055,0.9018358813537175,0.8739750751339345,1.0,0.8575517770808834,0.8290743825950607,0.8557469293087678,0.8595771266170129,0.8738811577159284,0.86203122958317,0.9036733960538351,0.9349193126878349,0.846342937410166,0.9158622435646151,0.8838690709525677,0.8785239448582256,0.956842904743238,0.9601381811054489,0.9334248007317393,0.9148454854305501,0.8808637135763753,0.8962906703253626,0.9616612766235463,0.9391945968901084,0.8590830393309813
AT1G61640.1,0.7754809604744513,0.8227678732868043,0.8035475355295989,0.7173995588182114,0.7895074675442086,0.0,0.0,0.0,0.8062597186562037,0.7257078797960439,0.7039426102050411,0.0,0.781687339529165,0.7737994069359564,0.7730354753552962,0.7625574078761798,0.8914041876107475,0.8750813654937981,0.8590207210790872,0.8158020829566413,0.6925966441254113,0.9717435721259899,0.8355512964235345,1.0,0.8944011499656458,0.7856290456731638,0.8129045673163853,0.9173371786062996,0.0,0.7849690811123567
AT1G65950.1,0.838967720301442,0.0,0.0,0.0,0.7844505038739168,0.5935431778471965,0.7830518345952242,0.7955383773671485,0.9394248248354247,0.7231517269373996,0.0,0.7352058735285293,0.7775277527752775,0.8001667813840208,0.8142152450539172,0.8553502409064435,0.7060235435308236,0.7665325356065018,0.7220486754557808,1.0,0.8127150950389156,0.8216718730696598,0.0,0.7826812092974004,0.0,0.0,0.0,0.7774571574804539,0.8036700728896419,0.7403549178447255
AT2G39190.1,0.9649782687852987,0.8537500871572782,0.8004756850562067,0.8821827281390179,0.9079890298039155,0.7964819448856109,0.8218117867629399,0.8080680524028294,0.0,0.8528049148957598,0.8707980507758935,0.8569458540251167,0.996916569179637,0.9880923789675929,0.8903600176638751,0.8264911641888176,0.7605499043206768,0.8839801048986263,0.8643677804721213,0.7878398165436135,0.8872417239322264,0.6717308273356214,0.6386497981824801,0.7485996730633652,0.7766410747073452,0.8773716463816171,0.9237819286162523,0.9219806781998342,0.7543791690231412,1.0
AT2G40090.1,0.9795681298443729,0.9501143423795358,0.9461882500556534,0.8941816930767207,0.8803756096573777,0.9066480480845122,0.8694149312933844,0.8841236111954344,0.9299860360633843,0.9209115010219984,0.9038026430291624,0.9595450589925729,0.9163094732155506,0.9406593406593408,0.9182887094489305,0.9631473498876815,0.9019610224030115,0.9204622265395747,0.9372472831036367,0.9616416732438833,0.9721409345718739,0.9951025033897962,0.9671989152652137,1.0,0.9957015360330278,0.9306862566531076,0.9125412340881954,0.9243599862384394,0.8984234917936575,0.9691417238378565
AT4G01660.1,0.8769357553654089,0.8921167064104363,0.9280474119792398,0.8644375087670081,0.8463178566418853,0.8146023285173236,0.8474680880908964,0.8524547622387432,1.0,0.8487235236358537,0.8336582970963671,0.8384415766587179,0.8429618459812036,0.8237410576518446,0.8670220227240848,0.8620458689858326,0.8989619862533315,0.8506908402300463,0.8824098751578062,0.8632241548604292,0.8665170430635433,0.8682388834338618,0.8771847383924815,0.8551339598821716,0.851595595455183,0.8726820030859869,0.8645251788469631,0.900392761958199,0.9435439753121055,0.8317120213213635
AT4G24810.1,0.9774648445236681,0.8609308774014657,0.8458308575955635,0.8914398890869479,0.9144266191325016,0.8841830065359477,0.783117448999802,0.8116854822737175,0.807019211725094,0.9102673796791444,0.9324143394731629,1.0,0.9597227173697762,0.962840166369578,0.9232521291344821,0.939314715785304,0.7344266191325015,0.9673123390770448,0.8850108932461873,0.9576272529213705,0.9893325410972469,0.835171321053674,0.6689324618736383,0.6960110913052089,0.8426381461675579,0.9374371162606457,0.9240958605664488,0.7935432758962171,0.7285561497326203,0.9445117845117845
AT5G24810.1,0.9740423940822517,0.9356417896639851,0.9558211877898258,0.9285722545803573,0.9152619467048025,0.9537589188314066,0.8466597024936109,0.8455880935768995,1.0,0.9161138372465049,0.9010149447042091,0.8972488946623854,0.8857772826619074,0.876510563828188,0.87807943011992,0.9472251882061344,0.8970561592457107,0.9189123554966213,0.9351098399139629,0.9583884235399329,0.9562066586231753,0.8672091526194671,0.9010419276625434,0.8776477027865687,0.8935599387872317,0.8693562251612232,0.901319466662555,0.9042567544126774,0.8913049344121377,0.8765144185365215
AT5G24970.1,0.866805002049674,0.8553564108307308,0.8886118424667087,0.9024735549798626,0.8299953935162686,0.866099238028425,0.99964077879158,1.0,0.9632918186313251,0.7619758011689481,0.7525050396622477,0.7621490725753625,0.0,0.7889638792509605,0.7436597456713844,0.8608926435722648,0.8231067985783294,0.8263440155859744,0.856653833312907,0.8423695076133767,0.7799664445130018,0.8670289870384535,0.8699407918925888,0.8571651952684228,0.8698478169915858,0.8527193045477405,0.8476648508386759,0.792678649159211,0.7578806793929584,0.7948001673548218
AT5G50330.1,0.9139920609376677,0.9216307263169188,0.9245617423023281,0.8979208239459286,0.8471880699495762,0.8282029825126059,0.7807230983800021,0.8643106962772235,0.9742345241926833,0.913009333762472,0.8660572899903445,0.8575474734470551,0.8714987662267998,0.8456560454886816,0.8555004827808176,0.8687007831777707,0.9354446947752388,0.8472781890355113,0.8536208561313164,0.9156099130994528,0.8788928226585131,0.9883960948396096,0.948005578800558,0.8620491363587599,1.0,0.7624246325501557,0.8862782963201373,0.898547366162429,0.9506619461431177,0.7643900869005472
